fixture,candidate,component,intervals,estimate,previous_difference,absolute_reference_error,relative_reference_error,reference_available
axial_4,isotropic,union,256,0.0015565327301410006,6.940163437864355e-09,4.619823811696788e-10,2.968023153906117e-07,True
axial_4,isotropic,union,512,0.0015565322970223156,4.3311868501427764e-10,2.8863696155401186e-11,1.8543589969738946e-08,True
axial_4,isotropic,union,1024,0.0015565322699624398,2.7059875824450574e-11,1.8038203309506118e-12,1.1588711444347598e-09,True
axial_4,isotropic,union,2048,0.0015565322682713548,1.691084989055569e-12,1.1273534189504275e-13,7.242724368856733e-11,True
axial_4,isotropic,maximum,16,0.0015894661079997876,,3.2933839841168145e-05,0.02115846906285402,True
axial_4,isotropic,maximum,32,0.001558478577852964,3.098753014682369e-05,1.9463096943444537e-06,0.0012504139709528423,True
axial_4,isotropic,maximum,64,0.0015566513647497235,1.8272131032403844e-06,1.190965911040693e-07,7.651405212752884e-05,True
axial_4,isotropic,maximum,128,0.0015565396703044385,1.1169444528503526e-07,7.402145819034034e-09,4.755536374321867e-06,True
axial_4,isotropic,maximum,256,0.0015565327301410006,6.940163437864355e-09,4.619823811696788e-10,2.968023153906117e-07,True
axial_4,isotropic,maximum,512,0.0015565322970223156,4.3311868501427764e-10,2.8863696155401186e-11,1.8543589969738946e-08,True
axial_4,isotropic,maximum,1024,0.0015565322699624398,2.7059875824450574e-11,1.8038203309506118e-12,1.1588711444347598e-09,True
axial_4,isotropic,maximum,2048,0.0015565322682713548,1.691084989055569e-12,1.1273534189504275e-13,7.242724368856733e-11,True
axial_4,expanding,individual_1,16,0.0,,0.0,,True
axial_4,expanding,individual_1,32,0.0,0.0,0.0,,True
axial_4,expanding,individual_1,64,0.0,0.0,0.0,,True
axial_4,expanding,individual_1,128,0.0,0.0,0.0,,True
axial_4,expanding,individual_1,256,0.0,0.0,0.0,,True
axial_4,expanding,individual_1,512,0.0,0.0,0.0,,True
axial_4,expanding,individual_1,1024,0.0,0.0,0.0,,True
axial_4,expanding,individual_1,2048,0.0,0.0,0.0,,True
axial_4,expanding,union,16,0.0,,0.0,,True
axial_4,expanding,union,32,0.0,0.0,0.0,,True
axial_4,expanding,union,64,0.0,0.0,0.0,,True
axial_4,expanding,union,128,0.0,0.0,0.0,,True
axial_4,expanding,union,256,0.0,0.0,0.0,,True
axial_4,expanding,union,512,0.0,0.0,0.0,,True
axial_4,expanding,union,1024,0.0,0.0,0.0,,True
axial_4,expanding,union,2048,0.0,0.0,0.0,,True
axial_4,expanding,maximum,16,0.0,,0.0,,True
axial_4,expanding,maximum,32,0.0,0.0,0.0,,True
axial_4,expanding,maximum,64,0.0,0.0,0.0,,True
axial_4,expanding,maximum,128,0.0,0.0,0.0,,True
axial_4,expanding,maximum,256,0.0,0.0,0.0,,True
axial_4,expanding,maximum,512,0.0,0.0,0.0,,True
axial_4,expanding,maximum,1024,0.0,0.0,0.0,,True
axial_4,expanding,maximum,2048,0.0,0.0,0.0,,True
axial_4,constant_width,individual_1,16,0.0,,0.0,,True
axial_4,constant_width,individual_1,32,0.0,0.0,0.0,,True
axial_4,constant_width,individual_1,64,0.0,0.0,0.0,,True
axial_4,constant_width,individual_1,128,0.0,0.0,0.0,,True
axial_4,constant_width,individual_1,256,0.0,0.0,0.0,,True
axial_4,constant_width,individual_1,512,0.0,0.0,0.0,,True
axial_4,constant_width,individual_1,1024,0.0,0.0,0.0,,True
axial_4,constant_width,individual_1,2048,0.0,0.0,0.0,,True
axial_4,constant_width,union,16,0.0,,0.0,,True
axial_4,constant_width,union,32,0.0,0.0,0.0,,True
axial_4,constant_width,union,64,0.0,0.0,0.0,,True
axial_4,constant_width,union,128,0.0,0.0,0.0,,True
axial_4,constant_width,union,256,0.0,0.0,0.0,,True
axial_4,constant_width,union,512,0.0,0.0,0.0,,True
axial_4,constant_width,union,1024,0.0,0.0,0.0,,True
axial_4,constant_width,union,2048,0.0,0.0,0.0,,True
axial_4,constant_width,maximum,16,0.0,,0.0,,True
axial_4,constant_width,maximum,32,0.0,0.0,0.0,,True
axial_4,constant_width,maximum,64,0.0,0.0,0.0,,True
axial_4,constant_width,maximum,128,0.0,0.0,0.0,,True
axial_4,constant_width,maximum,256,0.0,0.0,0.0,,True
axial_4,constant_width,maximum,512,0.0,0.0,0.0,,True
axial_4,constant_width,maximum,1024,0.0,0.0,0.0,,True
axial_4,constant_width,maximum,2048,0.0,0.0,0.0,,True
lateral_x5_y0,isotropic,individual_1,16,0.24907281620533275,,3.3478989600654874e-05,0.00013439640124091013,True
lateral_x5_y0,isotropic,individual_1,32,0.24910434888523827,3.1532679905521555e-05,1.946309695133319e-06,7.813169448850225e-06,True
lateral_x5_y0,isotropic,individual_1,64,0.24910617609834226,1.8272131039887007e-06,1.1909659114461846e-07,4.780954694517923e-07,True
lateral_x5_y0,isotropic,individual_1,128,0.24910628779278762,1.1169444535941153e-07,7.402145785206926e-09,2.97148082083374e-08,True
lateral_x5_y0,isotropic,individual_1,256,0.24910629473295107,6.940163443935887e-09,4.619823412710389e-10,1.8545590785231797e-09,True
lateral_x5_y0,isotropic,individual_1,512,0.24910629516606975,4.331186798101072e-10,2.8863661460931667e-11,1.1586885605739091e-10,True
lateral_x5_y0,isotropic,individual_1,1024,0.24910629519312963,2.7059882112823175e-11,1.8037793481084918e-12,7.241002667945339e-12,True
lateral_x5_y0,isotropic,individual_1,2048,0.24910629519482066,1.6910361999578072e-12,1.1274314815068465e-13,4.525905218993347e-13,True
lateral_x5_y0,isotropic,union,16,0.24907281620533275,,3.3478989600654874e-05,0.00013439640124091013,True
lateral_x5_y0,isotropic,union,32,0.24910434888523827,3.1532679905521555e-05,1.946309695133319e-06,7.813169448850225e-06,True
lateral_x5_y0,isotropic,union,64,0.24910617609834226,1.8272131039887007e-06,1.1909659114461846e-07,4.780954694517923e-07,True
lateral_x5_y0,isotropic,union,128,0.24910628779278762,1.1169444535941153e-07,7.402145785206926e-09,2.97148082083374e-08,True
lateral_x5_y0,isotropic,union,256,0.24910629473295107,6.940163443935887e-09,4.619823412710389e-10,1.8545590785231797e-09,True
lateral_x5_y0,isotropic,union,512,0.24910629516606975,4.331186798101072e-10,2.8863661460931667e-11,1.1586885605739091e-10,True
lateral_x5_y0,isotropic,union,1024,0.24910629519312963,2.7059882112823175e-11,1.8037793481084918e-12,7.241002667945339e-12,True
lateral_x5_y0,isotropic,union,2048,0.24910629519482066,1.6910361999578072e-12,1.1274314815068465e-13,4.525905218993347e-13,True
lateral_x5_y0,isotropic,maximum,16,0.24907281620533275,,3.3478989600654874e-05,0.00013439640124091013,True
lateral_x5_y0,isotropic,maximum,32,0.24910434888523827,3.1532679905521555e-05,1.946309695133319e-06,7.813169448850225e-06,True
lateral_x5_y0,isotropic,maximum,64,0.24910617609834226,1.8272131039887007e-06,1.1909659114461846e-07,4.780954694517923e-07,True
lateral_x5_y0,isotropic,maximum,128,0.24910628779278762,1.1169444535941153e-07,7.402145785206926e-09,2.97148082083374e-08,True
