feature,bin,match_alias,states,represented_matches,m1_mean_rank_change,m2_mean_rank_change,m1_improved,m1_worsened,m1_tied,m2_improved,m2_worsened,m2_tied
nonnearest_mass,bin_1,development_01,218,1,-0.6743119266055047,-0.03669724770642202,108,48,62,13,6,199
nonnearest_mass,bin_1,development_02,237,1,-0.6075949367088611,0.021097046413502123,121,46,70,12,16,209
nonnearest_mass,bin_1,development_03,267,1,-0.6704119850187266,-0.04119850187265918,128,63,76,18,6,243
nonnearest_mass,bin_1,development_04,159,1,-0.5660377358490567,-0.018867924528301883,66,30,63,8,7,144
nonnearest_mass,bin_1,development_05,276,1,-0.6268115942028984,-0.036231884057971016,128,66,82,16,12,248
nonnearest_mass,bin_1,development_06,93,1,-0.8602150537634407,-0.01075268817204301,53,21,19,3,3,87
nonnearest_mass,bin_1,development_07,221,1,-0.7194570135746606,-0.013574660633484167,125,43,53,13,10,198
nonnearest_mass,bin_1,development_08,207,1,-0.7439613526570047,-0.004830917874396134,120,40,47,9,9,189
nonnearest_mass,bin_1,development_09,150,1,-0.7599999999999998,0.0,74,36,40,6,6,138
nonnearest_mass,bin_1,match_macro,1828,9,-0.6920890664866838,-0.01567297538130837,923,393,512,98,75,1655
nonnearest_mass,bin_2,development_01,221,1,-0.9185520361990953,-0.04524886877828055,130,38,53,26,16,179
nonnearest_mass,bin_2,development_02,183,1,-0.5846994535519126,-0.03825136612021858,78,43,62,17,11,155
nonnearest_mass,bin_2,development_03,252,1,-0.9563492063492064,-0.03174603174603175,137,47,68,18,13,221
nonnearest_mass,bin_2,development_04,254,1,-0.7559055118110236,-0.07086614173228346,123,45,86,21,6,227
nonnearest_mass,bin_2,development_05,242,1,-0.4380165289256199,-0.012396694214876033,103,49,90,17,14,211
nonnearest_mass,bin_2,development_06,137,1,-0.6788321167883212,0.0,67,23,47,8,8,121
nonnearest_mass,bin_2,development_07,183,1,-0.5136612021857923,0.0,86,41,56,15,15,153
nonnearest_mass,bin_2,development_08,197,1,-0.6751269035532993,0.005076142131979694,102,31,64,11,11,175
nonnearest_mass,bin_2,development_09,152,1,-0.9407894736842104,0.0,83,27,42,7,8,137
nonnearest_mass,bin_2,match_macro,1821,9,-0.7179924925609423,-0.021492551162190076,909,344,568,140,102,1579
nonnearest_mass,bin_3,development_01,229,1,-0.6637554585152841,-0.07423580786026203,104,54,71,23,8,198
nonnearest_mass,bin_3,development_02,180,1,-0.3666666666666667,0.005555555555555556,73,48,59,15,13,152
nonnearest_mass,bin_3,development_03,215,1,-0.46046511627906994,-0.060465116279069774,85,50,80,22,12,181
nonnearest_mass,bin_3,development_04,252,1,-0.6269841269841271,-0.011904761904761906,119,51,82,18,14,220
nonnearest_mass,bin_3,development_05,191,1,-0.37696335078534055,-0.020942408376963362,76,45,70,13,11,167
nonnearest_mass,bin_3,development_06,165,1,-0.23636363636363641,-0.07272727272727274,60,46,59,23,11,131
nonnearest_mass,bin_3,development_07,170,1,-0.5235294117647059,0.0411764705882353,71,43,56,13,17,140
nonnearest_mass,bin_3,development_08,192,1,-0.34375,-0.020833333333333332,82,46,64,15,12,165
nonnearest_mass,bin_3,development_09,207,1,-0.5555555555555555,0.03381642512077294,86,43,78,15,18,174
nonnearest_mass,bin_3,match_macro,1801,9,-0.4615592581015984,-0.02006224991301104,756,426,619,157,116,1528
nonnearest_mass,bin_4,development_01,217,1,-0.18894009216589863,0.009216589861751154,60,49,108,19,18,180
nonnearest_mass,bin_4,development_02,201,1,-0.2288557213930349,-0.04975124378109454,64,47,90,22,15,164
nonnearest_mass,bin_4,development_03,218,1,-0.34403669724770647,0.022935779816513763,72,41,105,18,19,181
nonnearest_mass,bin_4,development_04,212,1,-0.3113207547169812,0.02830188679245283,69,49,94,15,23,174
nonnearest_mass,bin_4,development_05,152,1,0.11184210526315787,-0.03289473684210526,39,47,66,14,11,127
nonnearest_mass,bin_4,development_06,234,1,-0.30341880341880356,0.0341880341880342,74,58,102,21,24,189
nonnearest_mass,bin_4,development_07,190,1,-0.4736842105263156,-0.010526315789473677,73,31,86,20,21,149
nonnearest_mass,bin_4,development_08,138,1,-0.4492753623188406,0.007246376811594203,59,30,49,9,11,118
nonnearest_mass,bin_4,development_09,215,1,-0.26511627906976754,0.013953488372093025,64,51,100,19,24,172
nonnearest_mass,bin_4,match_macro,1777,9,-0.2725339795104656,0.0025188732699739655,574,403,800,157,166,1454
receiver_distance,bin_1,development_01,174,1,0.4195402298850573,0.11494252873563213,31,77,66,6,22,146
receiver_distance,bin_1,development_02,177,1,0.3954802259887006,0.11299435028248586,26,72,79,9,25,143
receiver_distance,bin_1,development_03,152,1,0.3289473684210526,0.09868421052631579,23,55,74,7,16,129
receiver_distance,bin_1,development_04,169,1,0.2071005917159763,0.17159763313609463,48,59,62,3,28,138
receiver_distance,bin_1,development_05,163,1,0.6134969325153374,0.09815950920245399,23,73,67,9,23,131
receiver_distance,bin_1,development_06,199,1,0.321608040201005,0.14070351758793967,45,83,71,11,32,156
receiver_distance,bin_1,development_07,144,1,0.3680555555555555,0.2430555555555555,28,54,62,1,30,113
receiver_distance,bin_1,development_08,144,1,0.24305555555555552,0.11805555555555552,40,54,50,6,21,117
receiver_distance,bin_1,development_09,182,1,0.2692307692307693,0.1923076923076923,36,77,69,6,37,139
receiver_distance,bin_1,match_macro,1504,9,0.3518350298965567,0.14338895032108062,300,604,600,58,234,1212
receiver_distance,bin_2,development_01,200,1,-0.25000000000000006,0.010000000000000004,65,50,85,14,15,171
receiver_distance,bin_2,development_02,203,1,-0.09852216748768472,0.009852216748768475,66,57,80,13,14,176
receiver_distance,bin_2,development_03,205,1,-0.06341463414634148,0.004878048780487807,65,63,77,16,19,170
receiver_distance,bin_2,development_04,215,1,-0.20000000000000004,0.004651162790697675,73,52,90,9,12,194
receiver_distance,bin_2,development_05,169,1,0.24260355029585792,0.02366863905325443,32,62,75,5,11,153
receiver_distance,bin_2,development_06,147,1,-0.040816326530612235,-0.006802721088435373,43,38,66,8,7,132
receiver_distance,bin_2,development_07,176,1,-0.22727272727272724,0.03409090909090908,66,39,71,10,16,150
receiver_distance,bin_2,development_08,173,1,-0.2601156069364161,-0.0057803468208092465,73,39,61,8,10,155
receiver_distance,bin_2,development_09,199,1,-0.23115577889447228,0.04020100502512562,65,45,89,7,15,177
receiver_distance,bin_2,match_macro,1687,9,-0.12541041010804407,0.012750990397777611,548,445,694,90,119,1478
