fixture,candidate,component,expected,actual,expected_bits,actual_bits,expected_signed_zero,actual_signed_zero,absolute_difference,relative_difference,ulp_distance,finite,python_equal,bitwise_equal
lateral_x10_y1,isotropic,union,0.22120904200931227,0.22120904200931227,3fcc5093f08136d9,3fcc5093f08136d9,,,0.0,0.0,0,True,True,True
lateral_x10_y1,isotropic,maximum,0.22120904200931227,0.22120904200931227,3fcc5093f08136d9,3fcc5093f08136d9,,,0.0,0.0,0,True,True,True
lateral_x10_y1,expanding,individual_1,0.4101291178147735,0.4101291178147735,3fda3f8e3309b6d1,3fda3f8e3309b6d1,,,0.0,0.0,0,True,True,True
lateral_x10_y1,expanding,union,0.4101291178147735,0.4101291178147735,3fda3f8e3309b6d1,3fda3f8e3309b6d1,,,0.0,0.0,0,True,True,True
lateral_x10_y1,expanding,maximum,0.4101291178147735,0.4101291178147735,3fda3f8e3309b6d1,3fda3f8e3309b6d1,,,0.0,0.0,0,True,True,True
lateral_x10_y1,constant_width,individual_1,0.350354897868058,0.350354897868058,3fd66c36f3158cf9,3fd66c36f3158cf9,,,0.0,0.0,0,True,True,True
lateral_x10_y1,constant_width,union,0.350354897868058,0.350354897868058,3fd66c36f3158cf9,3fd66c36f3158cf9,,,0.0,0.0,0,True,True,True
lateral_x10_y1,constant_width,maximum,0.350354897868058,0.350354897868058,3fd66c36f3158cf9,3fd66c36f3158cf9,,,0.0,0.0,0,True,True,True
lateral_x10_y2,isotropic,individual_1,0.15203460294462212,0.15203460294462212,3fc375deafc0f5ac,3fc375deafc0f5ac,,,0.0,0.0,0,True,True,True
lateral_x10_y2,isotropic,union,0.15203460294462212,0.15203460294462212,3fc375deafc0f5ac,3fc375deafc0f5ac,,,0.0,0.0,0,True,True,True
lateral_x10_y2,isotropic,maximum,0.15203460294462212,0.15203460294462212,3fc375deafc0f5ac,3fc375deafc0f5ac,,,0.0,0.0,0,True,True,True
lateral_x10_y2,expanding,individual_1,0.26121260205758073,0.26121260205758073,3fd0b7b50fc8fbd9,3fd0b7b50fc8fbd9,,,0.0,0.0,0,True,True,True
lateral_x10_y2,expanding,union,0.26121260205758073,0.26121260205758073,3fd0b7b50fc8fbd9,3fd0b7b50fc8fbd9,,,0.0,0.0,0,True,True,True
lateral_x10_y2,expanding,maximum,0.26121260205758073,0.26121260205758073,3fd0b7b50fc8fbd9,3fd0b7b50fc8fbd9,,,0.0,0.0,0,True,True,True
lateral_x10_y2,constant_width,individual_1,0.15016022769291523,0.15016022769291523,3fc33873498ced0f,3fc33873498ced0f,,,0.0,0.0,0,True,True,True
lateral_x10_y2,constant_width,union,0.15016022769291523,0.15016022769291523,3fc33873498ced0f,3fc33873498ced0f,,,0.0,0.0,0,True,True,True
lateral_x10_y2,constant_width,maximum,0.15016022769291523,0.15016022769291523,3fc33873498ced0f,3fc33873498ced0f,,,0.0,0.0,0,True,True,True
lateral_x10_y5,isotropic,individual_1,0.011013349698107319,0.011013349698107319,3f868e2ac62ea88b,3f868e2ac62ea88b,,,0.0,0.0,0,True,True,True
lateral_x10_y5,isotropic,union,0.011013349698107319,0.011013349698107319,3f868e2ac62ea88b,3f868e2ac62ea88b,,,0.0,0.0,0,True,True,True
lateral_x10_y5,isotropic,maximum,0.011013349698107319,0.011013349698107319,3f868e2ac62ea88b,3f868e2ac62ea88b,,,0.0,0.0,0,True,True,True
lateral_x10_y5,expanding,individual_1,0.006801855241388369,0.006801855241388369,3f7bdc431d05b0b7,3f7bdc431d05b0b7,,,0.0,0.0,0,True,True,True
lateral_x10_y5,expanding,union,0.006801855241388369,0.006801855241388369,3f7bdc431d05b0b7,3f7bdc431d05b0b7,,,0.0,0.0,0,True,True,True
lateral_x10_y5,expanding,maximum,0.006801855241388369,0.006801855241388369,3f7bdc431d05b0b7,3f7bdc431d05b0b7,,,0.0,0.0,0,True,True,True
lateral_x10_y5,constant_width,individual_1,0.0009929232887811359,0.0009929232887811359,3f50449f436048d8,3f50449f436048d8,,,0.0,0.0,0,True,True,True
lateral_x10_y5,constant_width,union,0.0009929232887811359,0.0009929232887811359,3f50449f436048d8,3f50449f436048d8,,,0.0,0.0,0,True,True,True
lateral_x10_y5,constant_width,maximum,0.0009929232887811359,0.0009929232887811359,3f50449f436048d8,3f50449f436048d8,,,0.0,0.0,0,True,True,True
lateral_x15_y0,isotropic,individual_1,0.24910629516606975,0.24910629516606975,3fcfe2b70f7ba5a4,3fcfe2b70f7ba5a4,,,0.0,0.0,0,True,True,True
lateral_x15_y0,isotropic,union,0.24910629516606975,0.24910629516606975,3fcfe2b70f7ba5a4,3fcfe2b70f7ba5a4,,,0.0,0.0,0,True,True,True
lateral_x15_y0,isotropic,maximum,0.24910629516606975,0.24910629516606975,3fcfe2b70f7ba5a4,3fcfe2b70f7ba5a4,,,0.0,0.0,0,True,True,True
lateral_x15_y0,expanding,individual_1,0.22499999554323344,0.22499999554323344,3fccccccc33aaaab,3fccccccc33aaaab,,,0.0,0.0,0,True,True,True
lateral_x15_y0,expanding,union,0.22499999554323344,0.22499999554323344,3fccccccc33aaaab,3fccccccc33aaaab,,,0.0,0.0,0,True,True,True
lateral_x15_y0,expanding,maximum,0.22499999554323344,0.22499999554323344,3fccccccc33aaaab,3fccccccc33aaaab,,,0.0,0.0,0,True,True,True
lateral_x15_y0,constant_width,individual_1,0.22499999554323344,0.22499999554323344,3fccccccc33aaaab,3fccccccc33aaaab,,,0.0,0.0,0,True,True,True
lateral_x15_y0,constant_width,union,0.22499999554323344,0.22499999554323344,3fccccccc33aaaab,3fccccccc33aaaab,,,0.0,0.0,0,True,True,True
lateral_x15_y0,constant_width,maximum,0.22499999554323344,0.22499999554323344,3fccccccc33aaaab,3fccccccc33aaaab,,,0.0,0.0,0,True,True,True
lateral_x15_y1,isotropic,individual_1,0.2198355338983805,0.2198355338983805,3fcc23921e4bcea4,3fcc23921e4bcea4,,,0.0,0.0,0,True,True,True
lateral_x15_y1,isotropic,union,0.2198355338983805,0.2198355338983805,3fcc23921e4bcea4,3fcc23921e4bcea4,,,0.0,0.0,0,True,True,True
lateral_x15_y1,isotropic,maximum,0.2198355338983805,0.2198355338983805,3fcc23921e4bcea4,3fcc23921e4bcea4,,,0.0,0.0,0,True,True,True
lateral_x15_y1,expanding,individual_1,0.19765491871344976,0.19765491871344976,3fc94cc1a1e24770,3fc94cc1a1e24770,,,0.0,0.0,0,True,True,True
lateral_x15_y1,expanding,union,0.19765491871344976,0.19765491871344976,3fc94cc1a1e24770,3fc94cc1a1e24770,,,0.0,0.0,0,True,True,True
lateral_x15_y1,expanding,maximum,0.19765491871344976,0.19765491871344976,3fc94cc1a1e24770,3fc94cc1a1e24770,,,0.0,0.0,0,True,True,True
lateral_x15_y1,constant_width,individual_1,0.18595620821688116,0.18595620821688116,3fc7cd69bc63cc43,3fc7cd69bc63cc43,,,0.0,0.0,0,True,True,True
lateral_x15_y1,constant_width,union,0.18595620821688116,0.18595620821688116,3fc7cd69bc63cc43,3fc7cd69bc63cc43,,,0.0,0.0,0,True,True,True
lateral_x15_y1,constant_width,maximum,0.18595620821688116,0.18595620821688116,3fc7cd69bc63cc43,3fc7cd69bc63cc43,,,0.0,0.0,0,True,True,True
lateral_x15_y2,isotropic,individual_1,0.15109060554564627,0.15109060554564627,3fc356efdcc693d9,3fc356efdcc693d9,,,0.0,0.0,0,True,True,True
lateral_x15_y2,isotropic,union,0.15109060554564627,0.15109060554564627,3fc356efdcc693d9,3fc356efdcc693d9,,,0.0,0.0,0,True,True,True
lateral_x15_y2,isotropic,maximum,0.15109060554564627,0.15109060554564627,3fc356efdcc693d9,3fc356efdcc693d9,,,0.0,0.0,0,True,True,True
lateral_x15_y2,expanding,individual_1,0.13292762911694314,0.13292762911694314,3fc103c5c5e56325,3fc103c5c5e56325,,,0.0,0.0,0,True,True,True
lateral_x15_y2,expanding,union,0.13292762911694314,0.13292762911694314,3fc103c5c5e56325,3fc103c5c5e56325,,,0.0,0.0,0,True,True,True
lateral_x15_y2,expanding,maximum,0.13292762911694314,0.13292762911694314,3fc103c5c5e56325,3fc103c5c5e56325,,,0.0,0.0,0,True,True,True
lateral_x15_y2,constant_width,individual_1,0.1053485361074352,0.1053485361074352,3fbaf81f25434e07,3fbaf81f25434e07,,,0.0,0.0,0,True,True,True
lateral_x15_y2,constant_width,union,0.1053485361074352,0.1053485361074352,3fbaf81f25434e07,3fbaf81f25434e07,,,0.0,0.0,0,True,True,True
lateral_x15_y2,constant_width,maximum,0.1053485361074352,0.1053485361074352,3fbaf81f25434e07,3fbaf81f25434e07,,,0.0,0.0,0,True,True,True
lateral_x15_y5,isotropic,individual_1,0.010944966755884543,0.010944966755884543,3f866a50922dbc0c,3f866a50922dbc0c,,,0.0,0.0,0,True,True,True
