candidate,components,evidence_sha256,fixture,permutations,production_preserved,reason,status,structure_exact,verification_preserved
constant_width,5,7626cdf1d5984b83319e9246b1e98a458a876ee0373c93a4f332a9447cd3aae9,equal_minimum_three,6,True,accepted,passed,True,True
isotropic,6,df57f75505c41db1e25c47c7f69ff7bd3a01ae457d69d3573ce06f2afa3e67e1,star_edge_1,24,True,accepted,passed,True,True
expanding,6,41bd099c0f498c6f45f91f820f5fe7c078959f5809b6e121529b62f1f650b868,star_edge_1,24,True,accepted,passed,True,True
constant_width,6,77f165043e21f5ac8cea3c6eec9bca2708cab2fa7c010c59d0b8fdaf28d749b4,star_edge_1,24,True,accepted,passed,True,True
isotropic,6,ef9056dc551db1ced0ad450d0ff5f4b2696953e235f2ab5b90e7d45b9e05f9e8,star_edge_2,24,True,accepted,passed,True,True
expanding,6,392e9e33d52b6aca27acc2d5a1dba95657fd9c0bd1f7ed4302fef9e47e3c3030,star_edge_2,24,True,accepted,passed,True,True
constant_width,6,2097ec1458651d530e4e3ee9d37092d063596542e793af17c8e34e874dd8394a,star_edge_2,24,True,accepted,passed,True,True
isotropic,6,26dad9da006dd02d13a26990e30251c929b0d1d05b6934b8da8b50d75613f08a,star_edge_3,24,True,accepted,passed,True,True
expanding,6,3721609a35369f9af3a4d979bb67e90fd2cf61f4682a37528fdc8009a9124520,star_edge_3,24,True,accepted,passed,True,True
constant_width,6,58b2b0c72a7d7ed7878945e23f0a4f96aaec7c2973fd0cb9ebdb15ff581e298e,star_edge_3,24,True,accepted,passed,True,True
isotropic,6,fed189d4a1e0c09c3588dfeca04a345b02a2bfe204484de756cdd9ccd5bf77c0,star_edge_4,24,True,accepted,passed,True,True
expanding,6,07628c3c20b01c1841eeb10581d7e7d525b1ebb3b82a02b54318bb086366be0f,star_edge_4,24,True,accepted,passed,True,True
constant_width,6,c9e315b29bae22f473f4fe8fd417bf9508879d534b7c19352129f123f580d1f4,star_edge_4,24,True,accepted,passed,True,True
