fixture,candidate,component,expected_historical,local_actual,ci_actual,local_expected_equal,local_expected_bitwise_equal,local_expected_absolute_difference,local_expected_relative_difference,local_expected_ulp_distance,ci_available
lateral_x15_y5,expanding,union,0.005675546169237052,0.005675546169237052,,True,True,0.0,0.0,0,False
lateral_x15_y5,expanding,maximum,0.005675546169237052,0.005675546169237052,,True,True,0.0,0.0,0,False
lateral_x15_y5,constant_width,individual_1,0.001993005648887085,0.001993005648887085,,True,True,0.0,0.0,0,False
lateral_x15_y5,constant_width,union,0.001993005648887085,0.001993005648887085,,True,True,0.0,0.0,0,False
lateral_x15_y5,constant_width,maximum,0.001993005648887085,0.001993005648887085,,True,True,0.0,0.0,0,False
depth_x4_y0,isotropic,individual_1,0.37891179783599926,0.37891179783599926,,True,True,0.0,0.0,0,False
depth_x4_y0,isotropic,union,0.37891179783599926,0.37891179783599926,,True,True,0.0,0.0,0,False
depth_x4_y0,isotropic,maximum,0.37891179783599926,0.37891179783599926,,True,True,0.0,0.0,0,False
depth_x4_y0,expanding,individual_1,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y0,expanding,union,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y0,expanding,maximum,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y0,constant_width,individual_1,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y0,constant_width,union,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y0,constant_width,maximum,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y2,isotropic,individual_1,0.2924090212059966,0.2924090212059966,,True,True,0.0,0.0,0,False
depth_x4_y2,isotropic,union,0.2924090212059966,0.2924090212059966,,True,True,0.0,0.0,0,False
depth_x4_y2,isotropic,maximum,0.2924090212059966,0.2924090212059966,,True,True,0.0,0.0,0,False
depth_x4_y2,expanding,individual_1,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y2,expanding,union,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y2,expanding,maximum,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y2,constant_width,individual_1,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y2,constant_width,union,0.0,0.0,,True,True,0.0,,0,False
depth_x4_y2,constant_width,maximum,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y0,isotropic,individual_1,0.49509952585311473,0.49509952585311473,,True,True,0.0,0.0,0,False
depth_x5_y0,isotropic,union,0.49509952585311473,0.49509952585311473,,True,True,0.0,0.0,0,False
depth_x5_y0,isotropic,maximum,0.49509952585311473,0.49509952585311473,,True,True,0.0,0.0,0,False
depth_x5_y0,expanding,individual_1,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y0,expanding,union,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y0,expanding,maximum,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y0,constant_width,individual_1,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y0,constant_width,union,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y0,constant_width,maximum,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y2,isotropic,individual_1,0.38395969656254764,0.38395969656254764,,True,True,0.0,0.0,0,False
depth_x5_y2,isotropic,union,0.38395969656254764,0.38395969656254764,,True,True,0.0,0.0,0,False
depth_x5_y2,isotropic,maximum,0.38395969656254764,0.38395969656254764,,True,True,0.0,0.0,0,False
depth_x5_y2,expanding,individual_1,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y2,expanding,union,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y2,expanding,maximum,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y2,constant_width,individual_1,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y2,constant_width,union,0.0,0.0,,True,True,0.0,,0,False
depth_x5_y2,constant_width,maximum,0.0,0.0,,True,True,0.0,,0,False
depth_x5.5_y0,isotropic,individual_1,0.5400614114462935,0.5400614114462935,,True,True,0.0,0.0,0,False
depth_x5.5_y0,isotropic,union,0.5400614114462935,0.5400614114462935,,True,True,0.0,0.0,0,False
depth_x5.5_y0,isotropic,maximum,0.5400614114462935,0.5400614114462935,,True,True,0.0,0.0,0,False
depth_x5.5_y0,expanding,individual_1,0.017045452404696942,0.017045452404696942,,True,True,0.0,0.0,0,False
depth_x5.5_y0,expanding,union,0.017045452404696942,0.017045452404696942,,True,True,0.0,0.0,0,False
depth_x5.5_y0,expanding,maximum,0.017045452404696942,0.017045452404696942,,True,True,0.0,0.0,0,False
depth_x5.5_y0,constant_width,individual_1,0.017045452404696942,0.017045452404696942,,True,True,0.0,0.0,0,False
depth_x5.5_y0,constant_width,union,0.017045452404696942,0.017045452404696942,,True,True,0.0,0.0,0,False
depth_x5.5_y0,constant_width,maximum,0.017045452404696942,0.017045452404696942,,True,True,0.0,0.0,0,False
depth_x5.5_y2,isotropic,individual_1,0.42135095286279606,0.42135095286279606,,True,True,0.0,0.0,0,False
depth_x5.5_y2,isotropic,union,0.42135095286279606,0.42135095286279606,,True,True,0.0,0.0,0,False
depth_x5.5_y2,isotropic,maximum,0.42135095286279606,0.42135095286279606,,True,True,0.0,0.0,0,False
depth_x5.5_y2,expanding,individual_1,0.010905334118500606,0.010905334118500606,,True,True,0.0,0.0,0,False
depth_x5.5_y2,expanding,union,0.010905334118500606,0.010905334118500606,,True,True,0.0,0.0,0,False
depth_x5.5_y2,expanding,maximum,0.010905334118500606,0.010905334118500606,,True,True,0.0,0.0,0,False
depth_x5.5_y2,constant_width,individual_1,0.010589072031877153,0.010589072031877153,,True,True,0.0,0.0,0,False
depth_x5.5_y2,constant_width,union,0.010589072031877153,0.010589072031877153,,True,True,0.0,0.0,0,False
depth_x5.5_y2,constant_width,maximum,0.010589072031877153,0.010589072031877153,,True,True,0.0,0.0,0,False
depth_x6_y0,isotropic,individual_1,0.5725580111998022,0.5725580111998022,,True,True,0.0,0.0,0,False
depth_x6_y0,isotropic,union,0.5725580111998022,0.5725580111998022,,True,True,0.0,0.0,0,False
depth_x6_y0,isotropic,maximum,0.5725580111998022,0.5725580111998022,,True,True,0.0,0.0,0,False
depth_x6_y0,expanding,individual_1,0.0833333382809845,0.0833333382809845,,True,True,0.0,0.0,0,False
